Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Cover material (product.metafields.shopify.cover-material),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Manufacturer type (product.metafields.shopify.manufacturer-type),Vehicle frame/body features (product.metafields.shopify.vehicle-frame-body-features),Vehicle mirror design (product.metafields.shopify.vehicle-mirror-design),Vehicle mirror type (product.metafields.shopify.vehicle-mirror-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
processing-fee-3,,,,,,,,,CC Processing Fee -mws-31,,,,,,,,,0.0,,0,continue,manual,34.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-28,,,,,,,,,0.0,,0,continue,manual,34.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-30,,,,,,,,,0.0,,0,continue,manual,34.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-32,,,,,,,,,0.0,,0,continue,manual,37.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-35,,,,,,,,,0.0,,0,continue,manual,37.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-34,,,,,,,,,0.0,,0,continue,manual,37.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-36,,,,,,,,,0.0,,0,continue,manual,37.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-33,,,,,,,,,0.0,,0,continue,manual,37.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-37,,,,,,,,,0.0,,0,continue,manual,40.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-38,,,,,,,,,0.0,,0,continue,manual,52.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-40,,,,,,,,,0.0,,0,continue,manual,52.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-41,,,,,,,,,0.0,,0,continue,manual,52.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-39,,,,,,,,,0.0,,0,continue,manual,52.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-42,,,,,,,,,0.0,,0,continue,manual,52.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-43,,,,,,,,,0.0,,0,continue,manual,55.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-44,,,,,,,,,0.0,,0,continue,manual,58.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-46,,,,,,,,,0.0,,0,continue,manual,64.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-45,,,,,,,,,0.0,,0,continue,manual,64.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-47,,,,,,,,,0.0,,0,continue,manual,67.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-48,,,,,,,,,0.0,,0,continue,manual,70.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-50,,,,,,,,,0.0,,0,continue,manual,70.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-51,,,,,,,,,0.0,,0,continue,manual,70.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-52,,,,,,,,,0.0,,0,continue,manual,70.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-49,,,,,,,,,0.0,,0,continue,manual,70.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-53,,,,,,,,,0.0,,0,continue,manual,0.18,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-54,,,,,,,,,0.0,,0,continue,manual,0.72,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-55,,,,,,,,,0.0,,0,continue,manual,8.47,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-56,,,,,,,,,0.0,,0,continue,manual,0.75,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-57,,,,,,,,,0.0,,0,continue,manual,1.65,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-58,,,,,,,,,0.0,,0,continue,manual,27.60,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-59,,,,,,,,,0.0,,0,continue,manual,37.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-60,,,,,,,,,0.0,,0,continue,manual,3.15,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-61,,,,,,,,,0.0,,0,continue,manual,23.40,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-62,,,,,,,,,0.0,,0,continue,manual,39.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-63,,,,,,,,,0.0,,0,continue,manual,37.35,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
processing-fee-3,,,,,,,,,CC Processing Fee -mws-64,,,,,,,,,0.0,,-1,continue,manual,11.10,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
atc-race-can-am-maverick-r-kit,ATC Race Can-Am Maverick R Kit,"<p>This kit gives you everything you need for the off-roading enthusiast and racer. Built specifically for Can-Am Maverick R there is no fabrication required. 100% bolt on and ready to take on the night. The ATC race light bar series is designed for the hardcore racer or rider. Built for high speed application and proven in the toughest proving grounds on earth.  Bundled together saving you money. </p>
<p>Kit includes:</p>
<ul>
<li>
<a href=""https://allterrainconcepts.com/products/light-bar-wiring-harness"">WH1001 Single Harness</a> (2).             </li>
<li>
<a href=""https://allterrainconcepts.com/products/32-5-race-light-bar?variant=29073620205620"">ATC Race 12 Light Bar</a> (1)</li>
<li>
<span style=""text-decoration: underline; color: #2b00ff;"">Shock Mount Bracket</span> (1)</li>
<li>
<a href=""https://allterrainconcepts.com/products/32-5-race-light-bar?variant=42708903312"">ATC Race  Light Bar</a> (1).               </li>
<li>
<span style=""text-decoration: underline; color: #2b00ff;"">ATC Race Maverick R Top Bracket </span>(1)</li>
</ul>",All Terrain Concepts,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,SXS,"43 inch, 43 inch race kit, 50 inch race kit, amber, atc, ATC CAN-AM X3 43 Race Kit, ATC CAN-AM X3 50 Race Kit, ATC CAN-AM X3 Race Kit, ATC Race, bar, bars, Bumper Light, bundle, can-am, Can-Am Kits, combo, cree, front bumper, grill bracket, Kit, LED, led bracket, light, light bar, light bar bracket, Light Bars, light mount, lightbar bracket, lights, lumens, Maverick R, off road, offroad, pro, race, race series, racers, shock mount, Side by side, SXS shock mount, universal, universal bracket, universal UTV, Universal UTV Bracket",true,Size,Maverick R 50 Race Kit Smart Shock,,,,,,,,MRRRS-KIT,13607.7711,,0,deny,manual,1235.00,,true,true,,https://cdn.shopify.com/s/files/1/1803/9213/files/IMG_3004_158db1ae-158a-4f19-9a89-cd8cbc54f3c3.jpg?v=1706209883,1,"",false,,This kit gives you everything you need for the off-roading enthusiast and Racer. Built specifically for Can Am X3 there is no fabrication required. 100%bolt... ,,,,,new,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/IMG_3004_158db1ae-158a-4f19-9a89-cd8cbc54f3c3.jpg?v=1706209883,lb,,,true,,,active
atc-race-can-am-maverick-r-kit,,,,,,,,,Maverick R 50 Race Kit Non-Smart Shock,,,,,,,,MRRRN-Kit,13607.7711,,0,deny,manual,1235.00,,true,true,,https://cdn.shopify.com/s/files/1/1803/9213/files/CanAmRaceKitforMaverickR.jpg?v=1706209883,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/IMG_3004_158db1ae-158a-4f19-9a89-cd8cbc54f3c3.jpg?v=1706209883,lb,,,,,,
atc-race-can-am-maverick-r-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/DiagramWH1001_b30f4616-164c-4d14-b545-de7b1d1f43dd.png?v=1695335595,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atc-race-can-am-maverick-r-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/products/image_fa4bb568-7ada-453b-9c27-99bce5242b4b.heic?v=1682027001,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atc-proform-billet-whip-mount-set,ATC Proform Billet Whip Mount Set,"<p>Upgrade your UTV setup with the All Terrain Concepts Proform Billet Whip Mount Set, designed for performance and durability. Crafted from high-quality billet aluminum, these mounts are built to last and withstand the toughest off-road conditions. This set includes two mounts, specifically engineered to fit Proform UTV cages, ensuring a perfect fit for your vehicle.</p>
<p>The Proform Billet Whip Mounts feature a robust Type 3 anodized finish, providing superior corrosion resistance and a sleek, professional appearance. Whether you're tackling rough trails or cruising the dunes, these mounts deliver the strength and reliability you need to keep your whips securely in place.</p>
<p>With a lifetime guarantee, you can trust that these mounts will stand the test of time, making them the perfect addition to your UTV. Elevate your ride with All Terrain Concepts – where quality and performance meet.</p>",All Terrain Concepts,Vehicles & Parts > Vehicle Parts & Accessories,Brackets and Mounts,"Billet, billet whip, bracket, offroad, proform, Side by side, UTV, UTV bracket, whip mount",true,Title,Default Title,,,,,,,,PROBWM,1814.36948,,0,deny,manual,130.00,,true,true,3651664122583,https://cdn.shopify.com/s/files/1/1803/9213/files/ProformWMset.jpg?v=1733425127,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
atc-proform-billet-whip-mount-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/ProformWMset_4.jpg?v=1733425127,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atc-proform-billet-whip-mount-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/ProformWMset_1.jpg?v=1733425127,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atc-proform-billet-whip-mount-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/ProformWMset_2.jpg?v=1733425127,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atc-proform-billet-whip-mount-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1803/9213/files/ProformWMset_3.jpg?v=1733425127,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
